Ribo-seq Run ID,Raw reads number,Clean reads number,Clean reads %,RPFs number,RPFs %,ORF assigned number,ORF assigned %
SRR21942395,"38,578,740","2,069,684",5.36%,"361,105",0.94%,"277,711",0.72%
SRR21942396,"38,680,449","3,767,178",9.74%,"1,527,550",3.95%,"1,318,301",3.41%
SRR21942397,"38,739,503","3,924,328",10.13%,"1,739,084",4.49%,"1,509,531",3.90%
SRR21942398,"37,330,646","3,488,719",9.35%,"1,633,409",4.38%,"1,419,335",3.80%
SRR21942399,"36,392,650","3,591,153",9.87%,"1,589,512",4.37%,"1,374,969",3.78%
SRR21942405,"34,567,092","6,520,134",18.86%,"3,495,702",10.11%,"2,819,969",8.16%
SRR21942406,"42,452,701","6,890,093",16.23%,"3,452,373",8.13%,"2,848,342",6.71%
SRR21942407,"29,269,965","5,451,508",18.62%,"2,765,672",9.45%,"2,150,153",7.35%
SRR21942408,"30,410,446","4,316,027",14.19%,"2,123,836",6.98%,"1,625,831",5.35%
SRR21942411,"39,165,566","2,329,353",5.95%,"657,795",1.68%,"545,146",1.39%
SRR5892473,"191,272,277","74,071,705",38.73%,"36,361,876",19.01%,"30,484,521",15.94%
SRR5892474,"183,024,769","68,594,874",37.48%,"28,824,557",15.75%,"23,853,560",13.03%
SRR5892475,"182,033,816","80,341,960",44.14%,"21,536,287",11.83%,"18,033,686",9.91%
SRR5892476,"176,008,233","65,171,432",37.03%,"24,413,418",13.87%,"20,496,599",11.65%
SRR8594298,"138,279,487","62,891,465",45.48%,"21,352,429",15.44%,"11,454,587",8.28%
SRR8594299,"135,806,383","65,521,444",48.25%,"17,779,825",13.09%,"9,741,550",7.17%
SRR8594308,"181,383,428","78,444,274",43.25%,"47,926,590",26.42%,"38,709,137",21.34%
SRR8594309,"164,697,539","74,973,078",45.52%,"36,853,775",22.38%,"29,903,296",18.16%
SRR8594310,"135,127,676","62,807,661",46.48%,"15,754,585",11.66%,"6,961,170",5.15%
SRR8594311,"137,037,870","74,973,370",54.71%,"9,802,841",7.15%,"5,357,038",3.91%
SRR8594312,"120,424,619","48,773,771",40.50%,"12,659,055",10.51%,"5,279,336",4.38%
SRR8594313,"203,946,105","64,866,574",31.81%,"36,549,962",17.92%,"23,068,541",11.31%
SRR8763823,"35,054,523","9,801,388",27.96%,"6,806,352",19.42%,"5,257,356",15.00%
SRR8763824,"45,224,732","12,339,312",27.28%,"8,597,358",19.01%,"6,625,922",14.65%
SRR8763825,"42,863,288","11,895,601",27.75%,"8,408,858",19.62%,"6,523,749",15.22%
SRR8763826,"59,258,119","16,471,545",27.80%,"11,801,299",19.92%,"9,146,372",15.43%
SRR8763827,"37,720,530","10,790,183",28.61%,"6,788,870",18.00%,"5,273,272",13.98%
SRR8763828,"47,052,252","13,474,954",28.64%,"8,687,345",18.46%,"6,761,499",14.37%
SRR8763829,"38,574,645","11,234,323",29.12%,"7,808,341",20.24%,"6,080,148",15.76%
SRR8763830,"50,985,861","14,919,761",29.26%,"10,557,618",20.71%,"8,216,161",16.11%
SRR8763831,"32,062,219","9,551,062",29.79%,"6,501,999",20.28%,"5,250,129",16.37%
SRR8763832,"44,784,871","13,281,684",29.66%,"9,138,165",20.40%,"7,368,933",16.45%
SRR8763833,"33,666,421","10,474,156",31.11%,"7,207,788",21.41%,"5,740,343",17.05%
SRR8763834,"51,777,212","16,393,847",31.66%,"11,137,417",21.51%,"8,856,709",17.11%
SRR9179251,"60,057,338","731,302",1.22%,"518,836",0.86%,"208,378",0.35%
SRR9179252,"64,064,929","840,266",1.31%,"537,972",0.84%,"210,222",0.33%
SRR9179253,"82,731,300","1,104,244",1.33%,"757,100",0.92%,"280,544",0.34%
SRR9179254,"76,042,338","870,761",1.15%,"658,112",0.87%,"266,620",0.35%
